"","diam.nom","dp.nom","SCFH","StdErr","df","lower.CL","upper.CL"
"2",2,2,2982.31795080175,21.3566042244033,18,2937.449390282,3027.1865113215
"5",2,3,3602.68452584911,25.799096150448,18,3548.48263612833,3656.88641556988
"8",2,4,4153.02539574603,29.7401287099518,18,4090.54370385969,4215.50708763237
"11",2,5,4601.71483557546,32.9532276967753,18,4532.48267321023,4670.9469979407
"3",6,2,21502.038244883,153.977720816286,18,21178.543057514,21825.533432252
"6",6,3,25982.2308575551,186.060718691214,18,25591.3317928337,26373.1299222766
"9",6,4,30321.9873246541,217.138042714701,18,29865.79722494,30778.1774243682
"12",6,5,34298.3707450872,245.61322489031,18,33782.3565075404,34814.3849826339
"1",10,2,56304.2941992228,403.199305769495,18,55457.2038911218,57151.3845073238
"4",10,3,69799.2165441095,499.837464514884,18,68749.096998372,70849.336089847
"7",10,4,80675.0759815136,577.720315852863,18,79461.3306368433,81888.8213261839
"10",10,5,90329.4445485872,646.855978758316,18,88970.4505659522,91688.4385312222
