"","diam.nom","dp.nom","SCFH","StdErr","df","lower.CL","upper.CL"
"2",2,2,2882.44071851368,37.2087961043595,18,2804.2679386872,2960.61349834016
"5",2,3,3445.61642537449,44.478707992892,18,3352.17012743078,3539.0627233182
"8",2,4,3907.40331805222,50.4398138789382,18,3801.4332013683,4013.37343473613
"11",2,5,4417.21451456171,57.0208549878852,18,4297.41814356427,4537.01088555914
"3",6,2,21845.2354204999,281.995360873284,18,21252.7851515955,22437.6856894043
"6",6,3,25753.6068999836,332.447672536156,18,25055.1602575256,26452.0535424417
"9",6,4,30234.3960210772,390.289198199648,18,29414.4288425116,31054.3631996429
"12",6,5,33859.8673997491,437.089614404132,18,32941.576195287,34778.1586042112
"1",10,2,56813.4871274173,733.392865610012,18,55272.6858919017,58354.2883629329
"4",10,3,70026.2003582166,903.952887688693,18,68127.0658131319,71925.3349033013
"7",10,4,81211.7775301757,1048.34505423969,18,79009.2862999459,83414.2687604056
"10",10,5,91717.9683936522,1183.96717169096,18,89230.5456677248,94205.3911195796
